episode,method,label,task_completion_rate,task_completion_time_ratio,energy_consumption_index
4300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.375786,0.792785,0.824877
4400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.387816,0.786491,0.821753
4500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.383059,0.789634,0.826283
4600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.382813,0.790449,0.828838
4700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.389876,0.787389,0.828149
4800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.393857,0.786145,0.828872
4900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.388596,0.790091,0.833765
5000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.388387,0.791404,0.836427
5100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.401398,0.785439,0.833059
5200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.396046,0.789775,0.838046
5300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.402650,0.787481,0.837538
5400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.399874,0.790888,0.841625
5500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.406841,0.788184,0.840649
5600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.401189,0.792958,0.845731
5700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.404281,0.792680,0.846626
5800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.409289,0.791495,0.846729
5900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.413295,0.790790,0.847182
6000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.409241,0.794533,0.851235
6100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.415466,0.792541,0.850564
6200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.415189,0.793970,0.852666
6300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.424895,0.789995,0.850327
6400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.418590,0.794532,0.854937
6500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.425519,0.791745,0.853546
6600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.427995,0.791312,0.854076
6700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.432212,0.789796,0.853720
6800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.440868,0.785720,0.851274
6900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.438945,0.787244,0.853417
7000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.442691,0.785557,0.852944
7100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.440972,0.786744,0.854834
7200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.451740,0.780852,0.850946
7300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.453673,0.779724,0.850972
7400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.454443,0.779094,0.851419
7500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.453838,0.779051,0.852361
7600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.459067,0.775659,0.850577
7700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.469153,0.769436,0.846487
7800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.470908,0.767747,0.846116
7900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.475486,0.764359,0.844361
8000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.478921,0.761792,0.843280
8100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.481307,0.759234,0.842205
8200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.490378,0.753265,0.838334
8300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.491160,0.751604,0.837978
8400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.493455,0.749207,0.837006
8500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.501025,0.743966,0.833688
8600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.504755,0.740692,0.831957
8700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.511217,0.735987,0.829027
8800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.509067,0.736131,0.830032
8900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.515368,0.731524,0.827115
9000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.517660,0.729263,0.826079
9100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.524409,0.724654,0.823079
9200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.530621,0.720395,0.820322
9300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.531066,0.719441,0.820222
9400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.538371,0.714814,0.817071
9500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.538423,0.714292,0.817230
9600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.543344,0.711310,0.815330
9700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.549949,0.707405,0.812627
9800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.548166,0.708297,0.813806
9900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.554220,0.705058,0.811563
10000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.564862,0.699436,0.807332
10100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.565284,0.699593,0.807796
10200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.567596,0.698812,0.807463
10300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.569657,0.698308,0.807333
10400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.574221,0.696552,0.806162
10500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.577828,0.695699,0.805719
10600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.584945,0.692608,0.803442
10700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.586890,0.692802,0.803856
10800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.588771,0.692820,0.804139
10900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.588239,0.694447,0.805757
11000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.589258,0.695287,0.806759
11100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.591525,0.695426,0.807224
11200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.591907,0.696691,0.808653
11300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.594395,0.696756,0.809151
11400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.596620,0.696994,0.809849
11500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.607544,0.692448,0.806696
11600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.605642,0.694866,0.809312
11700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.612818,0.692325,0.807945
11800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.607508,0.696502,0.812154
11900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.613292,0.694681,0.811538
12000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.608297,0.698428,0.815564
12100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.612081,0.697388,0.815759
12200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.604249,0.702589,0.821147
12300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.615789,0.697045,0.817829
12400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.615459,0.697886,0.819820
12500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.614003,0.699207,0.822283
12600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.617860,0.697547,0.822383
12700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.617504,0.697861,0.824169
12800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.615650,0.698965,0.826664
12900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.621515,0.695684,0.825628
13000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.612872,0.700200,0.831018
13100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.617168,0.697484,0.830527
13200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.617159,0.696983,0.831876
13300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.620860,0.694326,0.831476
13400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.610440,0.699312,0.837333
13500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.619409,0.693545,0.834383
13600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.609139,0.698205,0.839943
13700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.619806,0.691335,0.836035
13800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.614862,0.692917,0.838996
13900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.616156,0.691003,0.839035
14000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.616843,0.689474,0.839318
14100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.618234,0.687446,0.839107
14200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.621499,0.684692,0.838206
14300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.610635,0.689155,0.843103
14400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.621195,0.682168,0.838516
14500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.616125,0.683795,0.840850
14600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.617864,0.681781,0.840073
14700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.615146,0.682297,0.841225
14800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.615275,0.681170,0.840888
14900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.618557,0.678566,0.839194
15000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.619536,0.677266,0.838417
15100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.619870,0.676869,0.838226
15200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.612359,0.680124,0.840874
15300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.613717,0.679031,0.839816
15400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.621872,0.674342,0.835672
15500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.622963,0.673749,0.834744
15600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.620691,0.675085,0.835262
15700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.622942,0.674076,0.833741
15800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.624021,0.673866,0.832764
15900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.621971,0.675523,0.833215
16000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.627079,0.673346,0.830444
16100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.629588,0.672759,0.828903
16200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.626411,0.675407,0.829952
16300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.630408,0.674280,0.827873
16400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.632723,0.674100,0.826545
16500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.640158,0.671198,0.822983
16600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.631732,0.677119,0.826653
16700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.642011,0.672775,0.821952
16800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.639944,0.675313,0.822929
16900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.640295,0.676505,0.822869
17000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.651571,0.671718,0.817997
17100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.649898,0.674057,0.819052
17200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.656106,0.672012,0.816632
17300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.654984,0.673992,0.817632
17400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.659338,0.672856,0.816221
17500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.659254,0.674131,0.816935
17600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.662460,0.673502,0.816251
17700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.666413,0.672378,0.815333
17800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.667152,0.672894,0.815933
17900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.672601,0.670702,0.814498
18000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.674734,0.670213,0.814642
18100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.672317,0.672112,0.816924
18200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.678463,0.669120,0.815390
18300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.682223,0.667305,0.815000
18400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.684905,0.665949,0.815162
18500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.687008,0.664753,0.815624
18600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.684752,0.665826,0.818104
18700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.686290,0.664637,0.818882
18800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.695100,0.659325,0.816424
18900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.704026,0.653821,0.813933
19000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.697006,0.656949,0.818612
19100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.702394,0.653150,0.817713
19200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.706562,0.649923,0.817355
19300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.708228,0.647967,0.818090
19400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.711948,0.644800,0.817869
19500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.710770,0.644275,0.819822
19600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.708514,0.644291,0.822210
19700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.721104,0.636132,0.817881
19800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.719675,0.635633,0.819770
19900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.720761,0.633818,0.820514
20000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.724553,0.630434,0.819883
20100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.726048,0.628402,0.820250
20200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.730110,0.624976,0.819351
20300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.723987,0.627263,0.822981
20400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.731318,0.622211,0.820448
20500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.729883,0.622047,0.821741
20600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.733201,0.619388,0.820807
20700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.728725,0.621148,0.823292
20800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.726075,0.622022,0.824849
20900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.733457,0.617501,0.821780
21000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.730347,0.618902,0.823342
21100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.731020,0.618332,0.823074
21200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.730503,0.618602,0.823277
21300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.729046,0.619511,0.823788
21400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.731166,0.618676,0.822663
21500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.730876,0.619201,0.822449
21600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.730659,0.619856,0.822147
21700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.731674,0.619978,0.821226
21800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.721704,0.626268,0.825184
21900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.725344,0.625213,0.822977
22000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.732214,0.622468,0.819249
22100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.727795,0.626038,0.820569
22200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.727656,0.627291,0.819893
22300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.727380,0.628726,0.819284
22400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.718595,0.634885,0.822481
22500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.724291,0.633093,0.819137
22600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.723970,0.634647,0.818514
22700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.720362,0.638020,0.819387
22800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.724491,0.637132,0.816804
22900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.716263,0.642973,0.819777
23000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.722527,0.640828,0.816290
23100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.723628,0.641428,0.815143
23200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.718609,0.645383,0.816854
23300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.717415,0.647085,0.816855
23400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.715430,0.649146,0.817297
23500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.716498,0.649342,0.816379
23600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.715091,0.650844,0.816708
23700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.716428,0.650714,0.815891
23800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.711346,0.654318,0.818330
23900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.712913,0.653402,0.817278
24000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.713804,0.653090,0.816935
24100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.714595,0.652672,0.816720
24200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.710707,0.654725,0.818744
24300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.704088,0.658083,0.822054
24400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.710140,0.654348,0.819770
24500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.708902,0.654477,0.820856
24600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.712907,0.651586,0.819669
24700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.713795,0.650265,0.819955
24800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.716108,0.648085,0.819713
24900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.716030,0.647252,0.820735
25000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.713351,0.647504,0.822792
25100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.711691,0.647247,0.824562
25200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.714525,0.644467,0.824378
25300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.706147,0.647828,0.829309
25400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.712424,0.643112,0.827702
25500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.715218,0.640252,0.827663
25600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.719349,0.636702,0.827088
25700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.718669,0.635825,0.828706
25800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.723318,0.632043,0.827931
25900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.717630,0.633993,0.831808
26000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.720937,0.631089,0.831654
26100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.722516,0.629203,0.832255
26200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.731612,0.623275,0.829451
26300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.723273,0.627068,0.834482
26400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.726565,0.624587,0.834248
26500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.736642,0.618586,0.830984
26600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.736426,0.618183,0.832136
26700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.739950,0.615963,0.831626
26800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.739881,0.615886,0.832685
26900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.738380,0.616728,0.834302
27000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.744972,0.613291,0.832217
27100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.746919,0.612523,0.832113
27200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.747913,0.612415,0.832343
27300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.747653,0.613155,0.833062
27400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.751272,0.611891,0.831938
27500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.745882,0.615689,0.834758
27600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.759781,0.609009,0.828814
27700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.753931,0.613282,0.831647
27800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.764032,0.608856,0.827191
27900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.760835,0.611860,0.828653
28000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.760746,0.613177,0.828588
28100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.767265,0.610904,0.825453
28200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.764529,0.613769,0.826407
28300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.767352,0.613565,0.824752
28400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.771476,0.612657,0.822440
28500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.774528,0.612315,0.820531
28600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.775566,0.613048,0.819459
28700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.772659,0.615897,0.820095
28800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.772318,0.617250,0.819504
28900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.773586,0.617658,0.818156
29000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.775245,0.617749,0.816583
29100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.782645,0.614569,0.812388
29200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.784057,0.614572,0.810866
29300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.781674,0.616532,0.811032
29400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.784276,0.615604,0.808938
29500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.787893,0.614075,0.806468
