episode,method,label,data_collection_rate,task_completion_rate,task_completion_time_ratio,normalized_makespan_index,energy_consumption_index,objective_index,reward_index
37000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.818931,0.875847,0.761191,0.918795,0.975293,0.961656,0.038344
38000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.820012,0.877810,0.764477,0.920241,0.977707,0.962217,0.037783
39000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.826279,0.884916,0.769698,0.919520,0.978432,0.961703,0.038297
40000,paper1_deep_hgrl_ugv_assisted,Paper1-HGRL,0.837229,0.896663,0.776660,0.916839,0.977625,0.960217,0.039783
0,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.233870,0.198870,0.225548,0.939452,0.843839,0.997226,0.002774
1000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.265982,0.236454,0.256912,0.943028,0.853532,0.998097,0.001903
2000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.296306,0.271960,0.286579,0.946449,0.862737,0.998939,0.001061
3000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.332529,0.313090,0.317675,0.946685,0.869201,0.998234,0.001766
4000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.365489,0.350698,0.346586,0.947445,0.875724,0.997836,0.002164
5000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.386455,0.376064,0.369864,0.952263,0.884976,0.999507,0.000493
6000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.404223,0.397998,0.391073,0.957661,0.894362,1.001508,0.000000
7000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.432155,0.429876,0.415600,0.958329,0.899919,1.001180,0.000000
8000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.466878,0.468336,0.442135,0.955653,0.902699,0.999216,0.000784
9000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.494793,0.499790,0.465276,0.955105,0.906822,0.998349,0.001651
10000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.515079,0.523427,0.484731,0.957045,0.912570,0.998758,0.001242
11000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.539820,0.551341,0.505365,0.956671,0.916354,0.998038,0.001962
12000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.571427,0.585952,0.528177,0.953044,0.917484,0.995722,0.004278
13000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.596634,0.614005,0.547889,0.951500,0.919971,0.994473,0.005527
14000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.607914,0.627979,0.561520,0.955073,0.926104,0.995808,0.004192
15000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.615944,0.638561,0.573367,0.959518,0.932706,0.997603,0.002397
16000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.631881,0.656914,0.587919,0.960394,0.936458,0.997635,0.002365
17000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.649728,0.677049,0.602801,0.960121,0.939185,0.997116,0.002884
18000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.658677,0.688164,0.613713,0.963043,0.944153,0.998213,0.001787
19000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.663710,0.695249,0.622670,0.967187,0.949889,0.999941,0.000059
20000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.678562,0.712044,0.635186,0.967076,0.952295,0.999561,0.000439
21000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.702738,0.738060,0.651083,0.962927,0.951540,0.997178,0.002822
22000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.721893,0.758958,0.664641,0.960493,0.951947,0.995669,0.004331
23000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.731068,0.769782,0.673895,0.961774,0.955022,0.996033,0.003967
24000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.741291,0.781567,0.683271,0.962373,0.957473,0.996070,0.003930
25000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.758747,0.800503,0.695260,0.959830,0.957461,0.994551,0.005449
26000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.772800,0.815957,0.705623,0.958413,0.958193,0.993608,0.006392
27000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.773813,0.818297,0.710518,0.961989,0.962575,0.995173,0.004827
28000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.770310,0.816050,0.713369,0.967160,0.968063,0.997548,0.002452
29000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.775866,0.822795,0.719617,0.968508,0.970598,0.998023,0.001977
30000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.787829,0.835885,0.728215,0.967103,0.970988,0.997131,0.002869
31000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.793867,0.842990,0.734241,0.967890,0.972944,0.997346,0.002654
32000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.794562,0.844696,0.737938,0.970643,0.976304,0.998553,0.001447
33000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.802911,0.854001,0.744515,0.970174,0.977178,0.998159,0.001841
34000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.821445,0.873440,0.754994,0.965479,0.974817,0.995659,0.004341
35000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.836423,0.889277,0.763889,0.962062,0.973353,0.993807,0.006193
36000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.839463,0.893129,0.767854,0.963284,0.975311,0.994282,0.005718
37000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.840017,0.894453,0.770679,0.965371,0.977861,0.995196,0.004804
38000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.847812,0.902976,0.776262,0.964439,0.978095,0.994608,0.005392
39000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.855753,0.911607,0.781773,0.963332,0.978149,0.993939,0.006061
40000,paper2_deep_cfr_marl,Paper2-CFR-MARL,0.852764,0.909271,0.782788,0.966488,0.981353,0.995408,0.004592
0,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.244552,0.214552,0.241821,0.928179,0.834634,0.999090,0.000910
1000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.280806,0.256436,0.275386,0.933512,0.844908,0.999751,0.000249
2000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.320999,0.301937,0.309436,0.936133,0.852789,0.999171,0.000829
3000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.353223,0.339165,0.339268,0.940870,0.861917,0.999757,0.000243
4000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.375226,0.365885,0.364040,0.948686,0.873036,1.001985,0.000000
5000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.400493,0.395598,0.389203,0.954244,0.882159,1.003180,0.000000
6000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.436855,0.436153,0.417942,0.954466,0.886998,1.001799,0.000000
7000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.473920,0.477170,0.446149,0.953561,0.890723,0.999939,0.000061
8000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.500719,0.507693,0.469482,0.955966,0.896677,0.999814,0.000186
9000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.523373,0.533860,0.490435,0.959276,0.903073,1.000218,0.000000
10000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.552825,0.566623,0.513426,0.959158,0.906674,0.998980,0.001020
11000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.584201,0.601119,0.536544,0.957602,0.908986,0.997091,0.002909
12000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.603782,0.623643,0.554339,0.960135,0.914164,0.997309,0.002691
13000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.612030,0.634664,0.567030,0.966606,0.922108,0.999557,0.000443
14000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.623319,0.648567,0.580398,0.971302,0.928544,1.000974,0.000000
15000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.642729,0.670442,0.596509,0.972222,0.931981,1.000556,0.000000
16000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.659370,0.689407,0.611033,0.973751,0.935717,1.000493,0.000000
17000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.667169,0.699398,0.621570,0.978348,0.941606,1.002011,0.000000
18000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.676908,0.711202,0.632458,0.981727,0.946442,1.002965,0.000000
19000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.698430,0.734670,0.647659,0.979977,0.947298,1.001397,0.000000
20000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.723398,0.761473,0.663860,0.976455,0.946702,0.998982,0.001018
21000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.738312,0.778118,0.675683,0.976584,0.948726,0.998430,0.001570
22000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.745816,0.787252,0.684207,0.979328,0.952602,0.999222,0.000778
23000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.758246,0.801220,0.694385,0.979772,0.954648,0.998896,0.001104
24000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.775034,0.819458,0.706008,0.978163,0.955057,0.997575,0.002425
25000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.783156,0.828946,0.713883,0.979728,0.957753,0.997871,0.002129
26000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.780014,0.827091,0.716988,0.985522,0.963534,1.000310,0.000000
27000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.779353,0.827645,0.720835,0.990064,0.968294,1.002148,0.000000
28000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.789676,0.839112,0.728840,0.989968,0.969497,1.001692,0.000000
29000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.801674,0.852189,0.737294,0.988970,0.969952,1.000809,0.000000
30000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.805724,0.857257,0.742358,0.990934,0.972558,1.001428,0.000000
31000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.809012,0.861504,0.746921,0.992997,0.975174,1.002119,0.000000
32000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.822741,0.876137,0.755473,0.990691,0.974452,1.000643,0.000000
33000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.841519,0.895767,0.765871,0.986182,0.972020,0.998085,0.001915
34000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.850691,0.905743,0.772260,0.985343,0.972286,0.997380,0.002620
35000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.849560,0.905369,0.774372,0.988464,0.975471,0.998671,0.001329
36000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.851172,0.907695,0.777434,0.990334,0.977669,0.999352,0.000648
37000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.859427,0.916624,0.783016,0.989403,0.977721,0.998646,0.001354
38000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.862946,0.920777,0.786572,0.990231,0.979049,0.998834,0.001166
39000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.856077,0.914506,0.785850,0.995086,0.983357,1.001049,0.000000
40000,paper3_deep_mw_maddpg_uav_swarm,Paper3-MW-MADDPG,0.850594,0.909587,0.785566,0.999266,0.987121,1.002938,0.000000
0,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.259735,0.234735,0.259894,0.915106,0.824080,1.000053,0.000000
1000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.302944,0.283703,0.297105,0.918308,0.834267,0.999532,0.000468
2000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.335252,0.321414,0.328730,0.924611,0.846301,1.000691,0.000000
3000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.361780,0.353014,0.356892,0.932042,0.858732,1.002538,0.000000
4000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.396568,0.392561,0.387278,0.935060,0.867431,1.002292,0.000000
5000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.439511,0.439971,0.419913,0.933773,0.872506,1.000002,0.000000
6000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.476514,0.481166,0.449221,0.933885,0.878258,0.998513,0.001487
7000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.502666,0.511252,0.473296,0.937420,0.886228,0.998831,0.001169
8000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.528993,0.541271,0.496603,0.940024,0.893173,0.998772,0.001228
9000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.561712,0.577454,0.521681,0.939262,0.897287,0.997114,0.002886
10000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.590138,0.609132,0.544304,0.939460,0.901832,0.996014,0.003986
11000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.604442,0.626488,0.560586,0.944595,0.909809,0.997457,0.002543
12000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.612981,0.637890,0.573912,0.951367,0.918761,0.999788,0.000212
13000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.629371,0.656968,0.589769,0.954373,0.924649,1.000300,0.000000
14000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.651157,0.681276,0.607212,0.954632,0.928254,0.999500,0.000500
15000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.666169,0.698656,0.621408,0.957048,0.933266,0.999835,0.000165
16000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.675123,0.709831,0.632677,0.961369,0.939511,1.001177,0.000000
17000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.691232,0.728025,0.646336,0.962342,0.943060,1.000895,0.000000
18000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.717309,0.756058,0.663537,0.958872,0.943103,0.998439,0.001561
19000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.739747,0.780332,0.678866,0.956429,0.943753,0.996541,0.003459
20000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.750064,0.792373,0.688957,0.958432,0.947586,0.996907,0.003093
21000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.757549,0.801475,0.697547,0.961191,0.951842,0.997691,0.002309
22000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.771839,0.817282,0.708515,0.960875,0.953656,0.996973,0.003027
23000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.785765,0.832633,0.719014,0.960371,0.955204,0.996196,0.003804
24000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.788096,0.836300,0.724572,0.964194,0.959879,0.997615,0.002385
25000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.784205,0.833663,0.727356,0.970213,0.966089,1.000162,0.000000
26000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.788833,0.839469,0.733282,0.972550,0.969434,1.000897,0.000000
27000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.802851,0.854591,0.742712,0.970873,0.969670,0.999651,0.000349
28000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.813359,0.866136,0.750503,0.970358,0.970686,0.999012,0.000988
29000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.816551,0.870301,0.755147,0.972543,0.973640,0.999746,0.000254
30000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.823902,0.878565,0.761248,0.972852,0.975106,0.999563,0.000437
31000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.841176,0.896697,0.771123,0.968991,0.973369,0.997317,0.002683
32000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.856648,0.912973,0.780095,0.965663,0.971961,0.995357,0.004643
33000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.859276,0.916356,0.783758,0.967297,0.974207,0.995895,0.004105
34000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.856179,0.913967,0.784971,0.971056,0.977984,0.997514,0.002486
35000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.859822,0.918275,0.788728,0.971964,0.979563,0.997722,0.002278
36000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.867083,0.926159,0.793792,0.971279,0.979893,0.997150,0.002850
37000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.866013,0.925675,0.795390,0.973789,0.982568,0.998190,0.001810
38000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.858320,0.918532,0.794214,0.978821,0.987085,1.000503,0.000000
39000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.858452,0.919179,0.796051,0.980603,0.989118,1.001204,0.000000
40000,paper4_deep_tanet_td3_multi_uav,Paper4-TANet-TD3,0.870321,0.931532,0.802473,0.977577,0.987503,0.999513,0.000487
0,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.278368,0.258368,0.279347,0.900653,0.812490,1.000326,0.000000
1000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.323226,0.310349,0.322606,0.910858,0.830016,0.997990,0.002010
2000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.366458,0.360123,0.363151,0.919421,0.845505,0.995438,0.004562
3000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.418470,0.418144,0.405314,0.922364,0.856042,0.990634,0.009366
4000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.471438,0.476631,0.446118,0.922990,0.864161,0.985182,0.014818
5000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.512141,0.522404,0.480418,0.926744,0.874004,0.981764,0.018236
6000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.543327,0.558247,0.509443,0.932673,0.884904,0.979864,0.020136
7000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.577436,0.596633,0.538289,0.935932,0.893277,0.977027,0.022973
8000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.614015,0.637141,0.566883,0.936826,0.899393,0.973371,0.026629
9000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.640036,0.666771,0.590117,0.940678,0.907283,0.971528,0.028472
10000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.652816,0.682864,0.607009,0.948665,0.917867,0.972060,0.027940
11000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.666137,0.699230,0.623158,0.955368,0.927114,0.972231,0.027769
12000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.688755,0.724644,0.642143,0.957372,0.932492,0.970313,0.029687
13000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.711676,0.750133,0.660440,0.958354,0.936789,0.968121,0.031879
14000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.725502,0.766319,0.674356,0.962146,0.942903,0.967554,0.032446
15000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.737627,0.780611,0.686907,0.965860,0.948691,0.967147,0.032853
16000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.759539,0.804513,0.702746,0.964961,0.950776,0.964619,0.035381
17000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.786094,0.832896,0.719865,0.961563,0.950761,0.961011,0.038989
18000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.802662,0.851144,0.732461,0.961572,0.953095,0.959261,0.040739
19000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.808387,0.858411,0.740232,0.965377,0.958087,0.959553,0.040447
20000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.816184,0.867624,0.748386,0.967857,0.961910,0.959313,0.040687
21000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.829921,0.882662,0.758505,0.967505,0.963449,0.957778,0.042222
22000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.838166,0.892102,0.766051,0.968930,0.966175,0.957243,0.042757
23000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.835167,0.890201,0.768753,0.974468,0.971850,0.958865,0.041135
24000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.832718,0.888761,0.771358,0.979432,0.976971,0.960294,0.039706
25000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.842034,0.899003,0.778376,0.979366,0.978205,0.959294,0.040706
26000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.856202,0.914022,0.787066,0.977061,0.977655,0.957252,0.042748
27000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.862896,0.921497,0.792521,0.977471,0.979046,0.956642,0.043358
28000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.865325,0.924644,0.796044,0.979336,0.981439,0.956824,0.043176
29000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.875536,0.935513,0.802471,0.977857,0.981243,0.955396,0.044604
30000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.891905,0.952489,0.811171,0.973702,0.978966,0.952686,0.047314
31000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.899978,0.961117,0.816376,0.972671,0.978964,0.951590,0.048410
32000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.895744,0.957394,0.816498,0.976383,0.982456,0.952913,0.047087
33000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.891845,0.953965,0.816607,0.979797,0.985667,0.954129,0.045871
34000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.896242,0.958792,0.819897,0.979742,0.986223,0.953652,0.046348
35000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.899882,0.962828,0.822760,0.979850,0.986852,0.953292,0.046708
36000,proposed_adaptive_hgrl,Proposed-AFD-HGRL,0.894184,0.957494,0.821773,0.983566,0.990143,0.954771,0.045229
